ENGINE_SIZE,CYLINDERS,FUEL_TYPE,CITY,HWY,COMB,COMB_mpg,CO2_EMISSIONS 
3.5,6,X,13.8,9.3,11.8,24,271
3.5,6,X,14,9.6,12,24,276
2,4,X,11.5,9.1,10.4,27,239
3.6,6,X,14.3,9.9,12.3,23,283
3.6,6,X,14.7,10.4,12.8,22,294
2.9,4,X,12.8,9.6,11.3,25,260
2.9,4,X,12.8,9.3,11.2,25,258
3.7,5,X,14,10.3,12.4,23,285
5.3,8,X,16.1,11.7,14.1,20,324
2.9,4,X,13.5,10.1,12,24,276
2.9,4,X,13.2,9.6,11.6,24,267
3.7,5,X,14.5,10.6,12.7,22,292
5.3,8,X,17,12.2,14.9,19,343
3.7,5,X,15.4,11.8,13.8,20,317
3.7,5,X,14.9,11,13.1,22,301
2.9,4,X,12.8,9.6,11.3,25,260
2.9,4,X,12.9,9.3,11.2,25,258
3.7,5,X,14.2,10.4,12.5,23,288
5.3,8,X,16.1,11.7,14.1,20,324
3.7,5,X,14.9,11,13.1,22,301
5.3,8,X,17,12.2,14.9,19,343
4.8,8,X,21.1,14.2,18,16,414
4.8,8,E,28.3,19.4,24.3,12,389
6,8,X,21.9,14.9,18.7,15,430
6,8,E,30,20.2,25.6,11,410
6,8,X,22.3,15,19,15,437
6,8,E,30.3,20.4,25.8,11,413
4.3,6,X,15.7,11.8,14,20,322
5.3,8,X,18,13.4,15.9,18,366
5.3,8,E,23.5,17.7,20.9,14,334
5.3,8,X,18.3,14.2,16.4,17,377
5.3,8,E,23.7,18.8,21.5,13,344
5.3,8,X,18.6,13.9,16.5,17,380
5.3,8,E,23.9,18.5,21.5,13,344
5.3,8,X,18.3,14.2,16.4,17,377
5.3,8,E,25.3,19.3,22.6,12,362
5.3,8,X,18.6,13.9,16.5,17,380
5.3,8,E,23.9,18.5,21.5,13,344
5.3,8,X,18.3,14.2,16.4,17,377
5.3,8,E,25.3,19.3,22.6,12,362
4.3,6,X,15.7,11.8,14,20,322
4.8,8,X,17,12.3,14.9,19,343
4.8,8,E,22.2,16.6,19.7,14,315
5.3,8,X,15.9,11.2,13.8,20,317
5.3,8,E,21.3,14.7,18.3,15,293
6.2,8,Z,18.8,13,16.2,17,373
6.2,8,E,25.5,17.4,21.9,13,350
4.3,6,X,16.6,13.3,15.1,19,347
4.8,8,X,17.7,13.4,15.7,18,361
4.8,8,E,23.2,17.8,20.8,14,333
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
6.2,8,Z,19.6,13.4,16.8,17,386
6.2,8,E,26.6,17.8,22.6,12,362
6.2,8,Z,19.3,13,16.5,17,380
6.2,8,E,26.3,17.4,22.3,13,357
6,8,X,11.5,9.9,10.8,26,248
6,8,X,11.6,10.1,10.9,26,251
5.3,8,X,15.3,10.7,13.3,21,306
5.3,8,E,20.7,14.4,17.9,16,286
2.4,4,X,10.5,7.3,9.1,31,209
3,6,X,13.9,9.6,12,24,276
3,6,E,18.8,13.1,16.3,17,261
2.4,4,X,11.5,8.2,10,28,230
3,6,X,14.5,10.2,12.5,23,288
3,6,E,19.6,13.8,17,17,272
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
6.2,8,Z,17,11.9,14.7,19,338
6.2,8,E,23.3,16.1,20.1,14,322
6,8,X,11.8,10.1,11,26,253
6,8,X,11.5,9.9,10.8,26,248
6,8,X,11.6,10.1,10.9,26,251
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
5.3,8,X,16.1,11.2,13.9,20,320
5.3,8,E,21.5,14.7,18.5,15,296
6,8,X,22.8,15.3,19.4,15,446
6.2,8,Z,18.8,13.4,16.4,17,377
6.2,8,E,25.7,17.8,22.2,13,355
6,8,X,22.7,15,19.2,15,442
2.4,4,X,10.5,7.2,9,31,207
2.4,4,X,10.3,7.4,9,31,207
3.5,6,X,12.1,8,10.3,27,237
3.5,6,X,13.4,9,11.4,25,262
2.4,4,X,10.3,7,8.8,32,202
2.4,4,X,10.1,7,8.7,32,200
3.5,6,X,11.7,7.8,9.9,29,228
3.5,6,X,13,8.6,11,26,253
3.5,6,X,13.3,9,11.4,25,262
1.8,4,X,9.5,6.8,8.3,34,191
1.8,4,X,8.6,6.5,7.7,37,177
2,4,Z,11.6,8.1,10,28,230
1.3,4,X,5.8,5.2,5.5,51,127
2.4,4,X,11.2,8.5,10,28,230
2.4,4,X,11.5,8.9,10.3,27,237
1.5,4,X,6.7,6,6.4,44,147
1.5,4,X,7.7,6.4,7.1,40,163
2.4,4,X,11.9,9.6,10.9,26,251
2.4,4,X,12.5,9.8,11.3,25,260
1.5,4,X,8.3,6.5,7.5,38,173
1.5,4,X,8.3,6.8,7.7,37,177
1.3,4,X,5.9,5.6,5.7,50,131
1.3,4,X,5.9,5.6,5.7,50,131
3.5,6,X,13.2,8.6,11.1,25,255
3.5,6,X,12.3,8.5,10.6,27,244
3.5,6,X,14.3,10.3,12.5,23,288
3.5,6,X,14.7,10.7,12.9,22,297
3.5,6,X,15.7,11.5,13.9,20,320
1.6,4,X,8.8,6.6,7.8,36,179
1.6,4,X,8.5,6.8,7.8,36,179
1.8,4,X,8.4,6.3,7.5,38,173
1.8,4,X,8.3,6.3,7.4,38,170
2,4,X,10,7.8,9,31,207
2,4,X,10.2,7.6,9.1,31,209
4.6,8,Z,15,9.7,12.6,22,290
3.8,6,X,12.9,8.6,10.9,26,251
4.6,8,Z,14,9.5,12,24,276
2,4,Z,11.9,8,10.2,28,235
2,4,Z,11.4,7.9,9.8,29,225
3.8,6,X,13.7,8.7,11.5,25,265
3.8,6,X,13.5,9,11.5,25,265
2.4,4,X,11.8,8.6,10.4,27,239
2.4,4,X,12.5,9.1,11,26,253
3.5,6,X,11.6,9,10.4,27,239
2.4,4,X,12,9.5,10.9,26,251
3.5,6,X,12,9.1,10.7,26,246
2,4,X,10.6,7.2,9.1,31,209
2.4,4,X,10.8,6.8,9,31,207
2.4,4,X,10,6.8,8.6,33,198
2.4,4,X,6.8,5.8,6.4,44,147
2,4,X,10.4,7.8,9.2,31,212
2,4,X,11.5,8.8,10.3,27,237
2.4,4,X,10.9,7.5,9.4,30,216
2.4,4,X,11.4,8.2,10,28,230
2.4,4,X,11.5,8.5,10.1,28,232
2.4,4,X,12,8.8,10.6,27,244
3.8,6,X,14.3,10.1,12.4,23,285
3.8,6,X,14.8,10.5,12.9,22,297
3.5,6,Z,13.9,10.1,12.2,23,281
3.5,6,Z,14.9,11,13.1,22,301
5,8,Z,16.3,11.9,14.3,20,329
2.5,6,Z,11.7,8.1,10.1,28,232
2.5,6,Z,12,8.7,10.5,27,242
3.7,6,Z,13.8,9.4,11.8,24,271
3.7,6,Z,13.4,9.3,11.5,25,265
3.7,6,Z,14.5,9.9,12.4,23,285
3.7,6,Z,12.5,8.8,10.8,26,248
3.7,6,Z,13.8,9.4,11.8,24,271
3.7,6,Z,13.2,9.3,11.4,25,262
